entry_idx,exit_idx,entry_time,exit_time,side,entry_price,exit_price,size,pnl,exit_reason,regime_at_entry
2763,2775,2024-10-11 08:15:00+00:00,2024-10-11 11:15:00+00:00,long,0.538,0.5349054853197226,41129.01420338558,-149.27447354089966,sl,RANGE
2775,2799,2024-10-11 11:15:00+00:00,2024-10-11 17:15:00+00:00,long,0.5355,0.5398514042225951,42691.8395437681,162.72220133455895,tp,RANGE
2803,2839,2024-10-11 18:15:00+00:00,2024-10-12 03:15:00+00:00,long,0.5385,0.5357235903542459,45614.131615240585,-151.08008135905865,sl,RANGE
2839,2860,2024-10-12 03:15:00+00:00,2024-10-12 08:30:00+00:00,long,0.5355,0.5388501442749002,55130.75217256321,154.98875999968567,tp,RANGE
2862,2870,2024-10-12 09:00:00+00:00,2024-10-12 11:00:00+00:00,long,0.538,0.5407820289540549,67741.9121585732,151.82635232585258,tp,RANGE
2872,2878,2024-10-12 11:30:00+00:00,2024-10-12 13:00:00+00:00,long,0.5393,0.5424610731548816,60714.000509400794,158.986415263877,tp,RANGE
2881,2892,2024-10-12 13:45:00+00:00,2024-10-12 16:30:00+00:00,long,0.5418,0.5395823362603043,58833.295080242744,-162.2178719955595,sl,TREND_UP
2892,2899,2024-10-12 16:30:00+00:00,2024-10-12 18:15:00+00:00,long,0.5396,0.5372846892649839,54675.42142242379,-155.96685697024705,sl,RANGE
2899,2935,2024-10-12 18:15:00+00:00,2024-10-13 03:15:00+00:00,long,0.5381,0.5355351269907844,47909.27091983132,-148.53829335956075,sl,RANGE
2935,2957,2024-10-13 03:15:00+00:00,2024-10-13 08:45:00+00:00,long,0.5358,0.5339359175636146,64050.18796494641,-153.5935263138304,sl,RANGE
2957,2962,2024-10-13 08:45:00+00:00,2024-10-13 10:00:00+00:00,long,0.5349,0.5331253933161123,65161.818188807294,-150.37601804323577,sl,RANGE
2962,2969,2024-10-13 10:00:00+00:00,2024-10-13 11:45:00+00:00,long,0.533,0.5310596026962711,57685.081496032035,-142.5661930610712,sl,RANGE
2969,2981,2024-10-13 11:45:00+00:00,2024-10-13 14:45:00+00:00,long,0.5312,0.5288680636704782,46513.16092860916,-133.06505512582348,sl,RANGE
2981,2983,2024-10-13 14:45:00+00:00,2024-10-13 15:15:00+00:00,long,0.5286,0.5259076060122058,39113.990494523605,-125.88061794865374,sl,RANGE
2983,2988,2024-10-13 15:15:00+00:00,2024-10-13 16:30:00+00:00,long,0.5256,0.5301429687546215,33803.60494735845,135.64797758801947,tp,RANGE
2995,3008,2024-10-13 18:15:00+00:00,2024-10-13 21:30:00+00:00,short,0.527,0.5300725828797571,34087.5307631896,-122.80562891180662,sl,TREND_DOWN
3009,3031,2024-10-13 21:45:00+00:00,2024-10-14 03:15:00+00:00,long,0.5295,0.5333499740378491,39709.89178694406,131.70278267192128,tp,TREND_UP
3050,3075,2024-10-14 08:00:00+00:00,2024-10-14 14:15:00+00:00,long,0.5381,0.5428095163619906,33167.38541038506,138.198771841053,tp,RANGE
3077,3080,2024-10-14 14:45:00+00:00,2024-10-14 15:30:00+00:00,long,0.5425,0.5475851893559648,31427.12594168213,142.60385761751755,tp,RANGE
3091,3119,2024-10-14 18:15:00+00:00,2024-10-15 01:15:00+00:00,short,0.5472,0.5509477074312942,29098.594021348767,-125.08482071955655,sl,TREND_DOWN
3123,3130,2024-10-15 02:15:00+00:00,2024-10-15 04:00:00+00:00,short,0.5524,0.5462303740784007,25828.03243906905,145.24124261908648,tp,TREND_DOWN
3131,3136,2024-10-15 04:15:00+00:00,2024-10-15 05:30:00+00:00,short,0.549,0.5431394116137649,27860.430182825396,148.14641590817573,tp,RANGE
3136,3159,2024-10-15 05:30:00+00:00,2024-10-15 11:15:00+00:00,long,0.5432,0.5391814808764076,27748.869606405176,-126.47103977843933,sl,RANGE
3184,3264,2024-10-15 17:30:00+00:00,2024-10-16 13:30:00+00:00,short,0.5425,0.5487119720031686,17495.00458163757,-118.27819712063356,sl,TREND_DOWN
3274,3289,2024-10-16 16:00:00+00:00,2024-10-16 19:45:00+00:00,short,0.5484,0.5531406735119925,22385.657574995384,-118.50551162235615,sl,TREND_DOWN
3290,3312,2024-10-16 20:00:00+00:00,2024-10-17 01:30:00+00:00,short,0.5529,0.5468602672923777,25706.63209787994,141.20325098414423,tp,TREND_DOWN
3312,3323,2024-10-17 01:30:00+00:00,2024-10-17 04:15:00+00:00,long,0.5471,0.5517680820257417,34076.28388492659,140.268682505545,tp,RANGE
3340,3344,2024-10-17 08:30:00+00:00,2024-10-17 09:30:00+00:00,short,0.553,0.5584715243797634,19826.242614323044,-119.55216175891645,sl,TREND_DOWN
3345,3362,2024-10-17 09:45:00+00:00,2024-10-17 14:00:00+00:00,short,0.5578,0.5498670830005666,20018.38321624467,147.79672253181417,tp,TREND_DOWN
3364,3404,2024-10-17 14:30:00+00:00,2024-10-18 00:30:00+00:00,short,0.5501,0.5410242899774341,17949.348994567652,153.1920527731878,tp,TREND_DOWN
3412,3427,2024-10-18 02:30:00+00:00,2024-10-18 06:15:00+00:00,short,0.5439,0.5483006722345651,25329.861913971272,-125.35680034522012,sl,TREND_DOWN
3446,3453,2024-10-18 11:00:00+00:00,2024-10-18 12:45:00+00:00,short,0.5502,0.5449639965533939,31136.079328544816,146.06057645017523,tp,RANGE
3453,3509,2024-10-18 12:45:00+00:00,2024-10-19 02:45:00+00:00,long,0.5441,0.5495921091426904,30388.417183642512,150.1952695527065,tp,RANGE
3509,3529,2024-10-19 02:45:00+00:00,2024-10-19 07:45:00+00:00,long,0.5485,0.5459832045605548,45270.884056365074,-138.6546968830939,sl,TREND_UP
3529,3542,2024-10-19 07:45:00+00:00,2024-10-19 11:00:00+00:00,long,0.5462,0.5440335330795358,51082.17344635733,-138.45825429435047,sl,RANGE
3544,3565,2024-10-19 11:30:00+00:00,2024-10-19 16:45:00+00:00,long,0.5435,0.5413224284231124,49293.74234474364,-134.02446056045343,sl,RANGE
3565,3591,2024-10-19 16:45:00+00:00,2024-10-19 23:15:00+00:00,long,0.5412,0.5446549184681634,45207.00315390816,131.56429346977518,tp,RANGE
3596,3606,2024-10-20 00:30:00+00:00,2024-10-20 03:00:00+00:00,long,0.5438,0.5419671033877407,57977.25011565597,-137.6880676326629,sl,RANGE
3607,3625,2024-10-20 03:15:00+00:00,2024-10-20 07:45:00+00:00,long,0.5418,0.5398661214935312,53199.81739082638,-131.6027624791314,sl,RANGE
3625,3629,2024-10-20 07:45:00+00:00,2024-10-20 08:45:00+00:00,long,0.5404,0.5382989393425424,47439.58941669306,-125.21013559520881,sl,RANGE
3629,3630,2024-10-20 08:45:00+00:00,2024-10-20 09:00:00+00:00,long,0.5391,0.536643674681444,39350.05042078776,-117.77348079174766,sl,RANGE
3630,3650,2024-10-20 09:00:00+00:00,2024-10-20 14:00:00+00:00,long,0.5379,0.5419213102651316,35017.23707676622,121.83858791483846,tp,RANGE
3659,3664,2024-10-20 16:15:00+00:00,2024-10-20 17:30:00+00:00,long,0.5445,0.5416071614791343,33163.565441143204,-113.89846414049255,sl,TREND_UP
3669,3685,2024-10-20 18:45:00+00:00,2024-10-20 22:45:00+00:00,long,0.5448,0.5486027607524965,36801.31034762343,119.75727817437102,tp,TREND_UP
3687,3714,2024-10-20 23:15:00+00:00,2024-10-21 06:00:00+00:00,long,0.5478,0.5517005963571018,36645.118662188404,122.72068253979015,tp,TREND_UP
3741,3745,2024-10-21 12:45:00+00:00,2024-10-21 13:45:00+00:00,short,0.5508,0.5427683570246948,18180.241751825175,136.1495510094456,tp,TREND_DOWN
3746,3822,2024-10-21 14:00:00+00:00,2024-10-22 09:00:00+00:00,short,0.5446,0.5356286418694035,16697.72680906348,140.85750643792517,tp,TREND_DOWN
3837,3914,2024-10-22 12:45:00+00:00,2024-10-23 08:00:00+00:00,short,0.533,0.5257487887040314,21203.93388467145,142.60626234787497,tp,TREND_DOWN
3916,3944,2024-10-23 08:30:00+00:00,2024-10-23 15:30:00+00:00,long,0.5253,0.52210742514139,32929.18701568671,-122.32146762550838,sl,RANGE
3947,3949,2024-10-23 16:15:00+00:00,2024-10-23 16:45:00+00:00,long,0.5217,0.5182659717987378,29800.719502488595,-117.781210042711,sl,RANGE
3968,3981,2024-10-23 21:30:00+00:00,2024-10-24 00:45:00+00:00,short,0.524,0.527693156147246,26987.742274485776,-113.91119317941889,sl,TREND_DOWN
3983,4005,2024-10-24 01:15:00+00:00,2024-10-24 06:45:00+00:00,long,0.5281,0.5331944428050356,28592.594301783978,130.4179239309343,tp,RANGE
4008,4013,2024-10-24 07:30:00+00:00,2024-10-24 08:45:00+00:00,long,0.5296,0.5267273889453185,34607.97597860329,-117.64422320017985,sl,RANGE
4013,4030,2024-10-24 08:45:00+00:00,2024-10-24 13:00:00+00:00,long,0.5255,0.5301731069355193,31037.95940204723,128.58821197695354,tp,RANGE
4034,4091,2024-10-24 14:00:00+00:00,2024-10-25 04:15:00+00:00,long,0.5294,0.5261419159276394,30367.957155032676,-114.9192126772988,sl,RANGE
4091,4100,2024-10-25 04:15:00+00:00,2024-10-25 06:30:00+00:00,long,0.5258,0.5235536091787926,42878.307916723505,-118.77053019831581,sl,RANGE
4100,4103,2024-10-25 06:30:00+00:00,2024-10-25 07:15:00+00:00,long,0.5235,0.5212392579313851,41355.94225497089,-115.05145909505211,sl,RANGE
4109,4138,2024-10-25 08:45:00+00:00,2024-10-25 16:00:00+00:00,short,0.5253,0.5206634357687968,29362.61249274934,120.85360011493847,tp,RANGE
4143,4145,2024-10-25 17:15:00+00:00,2024-10-25 17:45:00+00:00,long,0.5205,0.5169939340749062,26488.287135865743,-106.56396471443435,sl,RANGE
4187,4329,2024-10-26 04:15:00+00:00,2024-10-27 15:45:00+00:00,short,0.5123,0.5172548497578561,18257.39689369045,-99.90638566500014,sl,TREND_DOWN
4331,4342,2024-10-27 16:15:00+00:00,2024-10-27 19:00:00+00:00,long,0.516,0.5141163057916481,46864.010721330415,-112.37101764254123,sl,RANGE
